<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.06.30	09:09:53.201	14.060				2
2026.06.30	09:09:54.221			14.060	28.00000000	88
2026.06.30	09:09:54.554			14.060	30.00000000	88
2026.06.30	09:10:00.066	14.060				2
2026.06.30	09:10:01.085			14.060	18.00000000	88
2026.06.30	09:10:01.086			14.060	9.00000000	88
2026.06.30	09:10:01.334			14.060	5.00000000	88
2026.06.30	09:10:01.334			14.060	14.00000000	88
2026.06.30	09:10:01.334	14.055				2
2026.06.30	09:10:01.334		14.060			4
2026.06.30	09:10:01.357			14.060	18.00000000	56
2026.06.30	09:10:01.361		14.065			4
2026.06.30	09:10:03.000	14.060				2
2026.06.30	09:10:13.240			14.060	31.00000000	88
2026.06.30	09:10:13.253			14.060	30.00000000	88
2026.06.30	09:10:13.724	14.055				2
2026.06.30	09:10:15.107	14.060				2
2026.06.30	09:10:20.444			14.065	9.00000000	56
2026.06.30	09:10:20.446			14.065	59.00000000	56
2026.06.30	09:10:20.465			14.065	69.00000000	56
2026.06.30	09:10:20.469			14.065	68.00000000	56
2026.06.30	09:10:20.471			14.065	69.00000000	56
2026.06.30	09:10:20.474			14.065	68.00000000	56
2026.06.30	09:10:20.478			14.065	69.00000000	56
2026.06.30	09:10:20.483			14.065	69.00000000	56
2026.06.30	09:10:20.487			14.065	68.00000000	56
2026.06.30	09:10:20.491			14.065	69.00000000	56
2026.06.30	09:10:20.496			14.065	68.00000000	56
2026.06.30	09:10:20.500			14.065	69.00000000	56
2026.06.30	09:10:20.504			14.065	68.00000000	56
2026.06.30	09:10:20.509			14.065	69.00000000	56
2026.06.30	09:10:20.513			14.065	40.00000000	56
2026.06.30	09:10:20.513			14.065	28.00000000	56
2026.06.30	09:10:20.517			14.065	69.00000000	56
2026.06.30	09:10:20.521			14.065	69.00000000	56
2026.06.30	09:10:20.526			14.065	68.00000000	56
2026.06.30	09:10:20.530			14.065	69.00000000	56
2026.06.30	09:10:20.534			14.065	68.00000000	56
2026.06.30	09:10:20.539			14.065	69.00000000	56
2026.06.30	09:10:20.543			14.065	68.00000000	56
2026.06.30	09:10:20.547			14.065	69.00000000	56
2026.06.30	09:10:20.552			14.065	68.00000000	56
2026.06.30	09:10:20.556			14.065	69.00000000	56
2026.06.30	09:10:20.560			14.065	69.00000000	56
2026.06.30	09:10:20.565			14.065	68.00000000	56
2026.06.30	09:10:20.569			14.065	69.00000000	56
2026.06.30	09:10:20.574			14.065	27.00000000	56
2026.06.30	09:10:20.574			14.065	41.00000000	56
2026.06.30	09:10:20.578			14.065	99.00000000	56
2026.06.30	09:10:20.582			14.065	82.00000000	56
2026.06.30	09:10:20.586			14.065	29.00000000	56
2026.06.30	09:10:20.591			14.065	69.00000000	56
2026.06.30	09:10:20.595			14.065	99.00000000	56
2026.06.30	09:10:20.599			14.065	68.00000000	56
2026.06.30	09:10:20.604			14.065	46.00000000	56
2026.06.30	09:10:20.608			14.065	15.00000000	56
2026.06.30	09:10:20.608			14.065	9.00000000	56
2026.06.30	09:10:20.609			14.065	5.00000000	56
2026.06.30	09:10:20.609			14.065	1.00000000	56
2026.06.30	09:10:20.614			14.065	6.00000000	56
2026.06.30	09:10:20.614			14.065	12.00000000	56
2026.06.30	09:10:20.614			14.065	9.00000000	56
2026.06.30	09:10:20.615			14.065	5.00000000	56
2026.06.30	09:10:20.618			14.065	6.00000000	56
2026.06.30	09:10:20.618			14.065	30.00000000	56
2026.06.30	09:10:20.622			14.065	57.00000000	56
2026.06.30	09:10:20.627			14.065	9.00000000	56
2026.06.30	09:10:20.627			14.065	32.00000000	56
2026.06.30	09:10:20.632			14.065	9.00000000	56
2026.06.30	09:10:20.632			14.065	14.00000000	56
2026.06.30	09:10:20.632			14.065	7.00000000	56
2026.06.30	09:10:20.637			14.065	30.00000000	56
2026.06.30	09:10:20.641			14.065	7.00000000	56
2026.06.30	09:10:20.642			14.065	23.00000000	56
2026.06.30	09:10:20.646			14.065	30.00000000	56
2026.06.30	09:10:20.651			14.065	30.00000000	56
2026.06.30	09:10:20.655			14.065	30.00000000	56
2026.06.30	09:10:20.660			14.065	30.00000000	56
2026.06.30	09:10:20.664			14.065	30.00000000	56
2026.06.30	09:10:20.668			14.065	30.00000000	56
2026.06.30	09:10:20.673			14.065	30.00000000	56
2026.06.30	09:10:20.677			14.065	30.00000000	56
2026.06.30	09:10:20.682			14.065	30.00000000	56
2026.06.30	09:10:20.686			14.065	30.00000000	56
2026.06.30	09:10:20.691			14.065	30.00000000	56
2026.06.30	09:10:20.695			14.065	30.00000000	56
2026.06.30	09:10:20.699			14.065	30.00000000	56
2026.06.30	09:10:20.704			14.065	30.00000000	56
2026.06.30	09:10:20.708			14.065	30.00000000	56
2026.06.30	09:10:20.713			14.065	30.00000000	56
2026.06.30	09:10:20.717			14.065	30.00000000	56
2026.06.30	09:10:20.721			14.065	30.00000000	56
2026.06.30	09:10:20.726			14.065	30.00000000	56
2026.06.30	09:10:20.730			14.065	30.00000000	56
2026.06.30	09:10:20.735			14.065	30.00000000	56
2026.06.30	09:10:20.739			14.065	30.00000000	56
2026.06.30	09:10:20.744			14.065	30.00000000	56
2026.06.30	09:10:20.748			14.065	30.00000000	56
2026.06.30	09:10:20.752			14.065	30.00000000	56
2026.06.30	09:10:20.757			14.065	30.00000000	56
2026.06.30	09:10:20.761			14.065	30.00000000	56
2026.06.30	09:10:20.765			14.065	30.00000000	56
2026.06.30	09:10:20.770			14.065	30.00000000	56
2026.06.30	09:10:20.774			14.065	30.00000000	56
2026.06.30	09:10:20.778			14.065	30.00000000	56
2026.06.30	09:10:20.783			14.065	30.00000000	56
2026.06.30	09:10:20.787			14.065	30.00000000	56
2026.06.30	09:10:20.792			14.065	30.00000000	56
