<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.06.30	10:06:48.646	37.80				2
2026.06.30	10:06:48.729			37.82	1000.00000000	56
2026.06.30	10:06:48.746			37.80	100.00000000	88
2026.06.30	10:06:48.746			37.79	100.00000000	88
2026.06.30	10:06:49.356			37.81	200.00000000	120
2026.06.30	10:06:52.653			37.82	100.00000000	56
2026.06.30	10:06:52.654			37.82	100.00000000	56
2026.06.30	10:06:52.754		37.83			4
2026.06.30	10:06:53.522	37.81				2
2026.06.30	10:06:55.390			37.81	300.00000000	88
2026.06.30	10:06:55.421			37.80	100.00000000	88
2026.06.30	10:06:55.422			37.80	2900.00000000	88
2026.06.30	10:06:55.422			37.79	200.00000000	88
2026.06.30	10:06:55.449			37.79	500.00000000	88
2026.06.30	10:06:55.623	37.78				2
2026.06.30	10:06:55.623		37.82			4
2026.06.30	10:06:56.000	37.80				2
2026.06.30	10:06:56.000		37.83			4
2026.06.30	10:06:56.695			37.83	2200.00000000	56
2026.06.30	10:06:56.707			37.81	400.00000000	120
2026.06.30	10:06:56.707	37.81				2
2026.06.30	10:06:56.709		37.84			4
2026.06.30	10:06:56.823			37.80	3500.00000000	88
2026.06.30	10:06:56.846			37.80	600.00000000	88
2026.06.30	10:06:57.000	37.80				2
2026.06.30	10:06:57.000		37.83			4
2026.06.30	10:06:58.462			37.82	2000.00000000	120
2026.06.30	10:06:58.462		37.84			4
2026.06.30	10:06:58.475			37.82	100.00000000	120
2026.06.30	10:06:58.494			37.80	400.00000000	88
2026.06.30	10:06:58.644	37.81				2
2026.06.30	10:06:58.745		37.83			4
2026.06.30	10:06:59.044			37.82	1000.00000000	120
2026.06.30	10:06:59.610			37.83	2300.00000000	56
2026.06.30	10:06:59.613			37.83	2700.00000000	56
2026.06.30	10:06:59.635			37.81	900.00000000	88
2026.06.30	10:07:00.612	37.81				2
2026.06.30	10:07:01.385		37.84			4
2026.06.30	10:07:05.317			37.81	1600.00000000	88
2026.06.30	10:07:05.344			37.81	300.00000000	88
2026.06.30	10:07:05.373			37.82	300.00000000	120
2026.06.30	10:07:06.442			37.84	300.00000000	56
2026.06.30	10:07:06.442	37.82				2
2026.06.30	10:07:06.729			37.83	300.00000000	120
2026.06.30	10:07:08.437			37.84	500.00000000	56
2026.06.30	10:07:08.461			37.82	100.00000000	88
2026.06.30	10:07:10.272			37.84	100.00000000	56
2026.06.30	10:07:10.309			37.83	100.00000000	120
2026.06.30	10:07:11.774			37.82	900.00000000	88
2026.06.30	10:07:11.787			37.82	100.00000000	88
2026.06.30	10:07:11.797			37.81	200.00000000	88
2026.06.30	10:07:11.879			37.81	1600.00000000	88
2026.06.30	10:07:11.888			37.82	600.00000000	88
2026.06.30	10:07:11.888			37.83	400.00000000	120
2026.06.30	10:07:11.899			37.81	300.00000000	88
2026.06.30	10:07:11.911			37.81	200.00000000	88
2026.06.30	10:07:12.014			37.82	500.00000000	88
2026.06.30	10:07:12.014	37.81				2
2026.06.30	10:07:12.014		37.83			4
2026.06.30	10:07:12.215			37.81	3300.00000000	88
2026.06.30	10:07:12.246			37.81	500.00000000	88
2026.06.30	10:07:12.692			37.82	4000.00000000	120
2026.06.30	10:07:12.721			37.81	700.00000000	88
2026.06.30	10:07:12.798			37.81	1600.00000000	88
2026.06.30	10:07:12.806			37.81	300.00000000	88
2026.06.30	10:07:12.813			37.82	100.00000000	120
2026.06.30	10:07:12.813			37.81	100.00000000	88
2026.06.30	10:07:12.815			37.81	200.00000000	88
2026.06.30	10:07:12.815			37.82	100.00000000	120
2026.06.30	10:07:12.815			37.81	500.00000000	88
2026.06.30	10:07:12.821			37.81	1600.00000000	88
2026.06.30	10:07:12.846			37.80	300.00000000	88
2026.06.30	10:07:12.870			37.80	300.00000000	88
2026.06.30	10:07:12.878			37.80	100.00000000	88
2026.06.30	10:07:13.000	37.80				2
2026.06.30	10:07:13.000		37.82			4
2026.06.30	10:07:15.843			37.80	1600.00000000	88
2026.06.30	10:07:15.869			37.80	300.00000000	88
2026.06.30	10:07:17.150		37.83			4
2026.06.30	10:07:18.459			37.82	100.00000000	120
2026.06.30	10:07:18.657	37.81				2
2026.06.30	10:07:21.863			37.81	1100.00000000	88
2026.06.30	10:07:21.876			37.81	200.00000000	88
2026.06.30	10:07:25.212	37.82				2
2026.06.30	10:07:27.974			37.82	1000.00000000	88
2026.06.30	10:07:27.998			37.82	100.00000000	88
2026.06.30	10:07:28.370			37.83	200.00000000	56
2026.06.30	10:07:28.375			37.84	4500.00000000	56
2026.06.30	10:07:28.406			37.83	900.00000000	56
2026.06.30	10:07:28.471	37.83				2
2026.06.30	10:07:28.476		37.85			4
2026.06.30	10:07:29.979			37.83	1000.00000000	88
2026.06.30	10:07:30.004			37.83	100.00000000	88
2026.06.30	10:07:32.219			37.84	100.00000000	120
2026.06.30	10:07:34.514			37.85	100.00000000	56
2026.06.30	10:07:34.514			37.85	1000.00000000	56
2026.06.30	10:07:34.514			37.86	2000.00000000	56
2026.06.30	10:07:34.535			37.84	100.00000000	120
2026.06.30	10:07:34.566			37.84	500.00000000	120
2026.06.30	10:07:34.584			37.86	1000.00000000	56
2026.06.30	10:07:34.678	37.84				2
2026.06.30	10:07:35.702			37.85	500.00000000	56
2026.06.30	10:07:35.943			37.84	100.00000000	88
2026.06.30	10:07:39.796			37.85	4300.00000000	56
2026.06.30	10:07:39.820			37.84	800.00000000	88
2026.06.30	10:07:40.000	37.85				2
2026.06.30	10:07:40.000		37.87			4
2026.06.30	10:07:41.361			37.86	1000.00000000	120
2026.06.30	10:07:42.405	37.86				2
2026.06.30	10:07:42.697			37.87	600.00000000	56
2026.06.30	10:07:42.718			37.87	100.00000000	56
2026.06.30	10:07:42.818	37.87				2
2026.06.30	10:07:42.818		37.90			4
2026.06.30	10:07:43.457			37.87	2000.00000000	88
2026.06.30	10:07:43.470			37.86	300.00000000	88
2026.06.30	10:07:43.571	37.86				2
2026.06.30	10:07:43.571		37.88			4
2026.06.30	10:07:44.612		37.89			4
2026.06.30	10:07:45.881			37.87	100.00000000	120
2026.06.30	10:07:45.881			37.86	100.00000000	88
2026.06.30	10:07:45.973			37.88	300.00000000	120
2026.06.30	10:07:46.053		37.88			4
